round,fund,property_id,action,bid,ltv
0,idem-310 Fund 002,OC-INDU-01,BID,18.63,0.6
0,idem-310 Fund 002,OC-MULT-03,PASS,,
0,idem-310 Fund 002,OC-OFFI-02,PASS,,
0,idem-310 Fund 002,OC-RETA-04,PASS,,
0,idem-310 Fund 001,OC-INDU-01,BID,18.63,0.6
0,idem-310 Fund 001,OC-MULT-03,PASS,,
0,idem-310 Fund 001,OC-OFFI-02,PASS,,
0,idem-310 Fund 001,OC-RETA-04,PASS,,
0,idem-310 Fund 004,OC-INDU-01,BID,18.63,0.6
0,idem-310 Fund 004,OC-MULT-03,PASS,,
0,idem-310 Fund 004,OC-OFFI-02,PASS,,
0,idem-310 Fund 004,OC-RETA-04,PASS,,
0,idem-310 Fund 003,OC-INDU-01,BID,18.63,0.6
0,idem-310 Fund 003,OC-MULT-03,PASS,,
0,idem-310 Fund 003,OC-OFFI-02,PASS,,
0,idem-310 Fund 003,OC-RETA-04,PASS,,
