round,fund,property_id,action,bid,ltv
1,load-310-A Fund 002,OC-INDU-05,PASS,,
1,load-310-A Fund 002,OC-MULT-07,BID,11.39,0.6
1,load-310-A Fund 002,OC-OFFI-06,PASS,,
1,load-310-A Fund 002,OC-RETA-08,PASS,,
1,load-310-A Fund 001,OC-INDU-05,PASS,,
1,load-310-A Fund 001,OC-MULT-07,BID,11.39,0.6
1,load-310-A Fund 001,OC-OFFI-06,PASS,,
1,load-310-A Fund 001,OC-RETA-08,PASS,,
1,load-310-A Fund 005,OC-INDU-05,PASS,,
1,load-310-A Fund 005,OC-MULT-07,BID,11.39,0.6
1,load-310-A Fund 005,OC-OFFI-06,PASS,,
1,load-310-A Fund 005,OC-RETA-08,PASS,,
1,load-310-A Fund 003,OC-INDU-05,PASS,,
1,load-310-A Fund 003,OC-MULT-07,BID,11.39,0.6
1,load-310-A Fund 003,OC-OFFI-06,PASS,,
1,load-310-A Fund 003,OC-RETA-08,PASS,,
1,load-310-A Fund 004,OC-INDU-05,PASS,,
1,load-310-A Fund 004,OC-MULT-07,BID,11.39,0.6
1,load-310-A Fund 004,OC-OFFI-06,PASS,,
1,load-310-A Fund 004,OC-RETA-08,PASS,,
1,load-310-A Fund 006,OC-INDU-05,PASS,,
1,load-310-A Fund 006,OC-MULT-07,BID,11.39,0.6
1,load-310-A Fund 006,OC-OFFI-06,PASS,,
1,load-310-A Fund 006,OC-RETA-08,PASS,,
