property_id,property_name,type,submarket,apn,site_address,parcel_objectid,size_sf,units,asking_price,current_noi,going_in_cap,occupancy,market_rent,in_place_rent,walt,tenant_concentration,opex_ratio,capex_need,debt_rate,amortization_years,max_ltv,property_quality,leasable_area_sf,lease_expiry_profile,is_synthetic,source_name,source_url,observation_date,available_at,data_type,notes,primary_risk,latitude,longitude,census_tract,employment_density_jobs_per_sqmi,distance_to_sna_km,distance_to_irvine_emp_km,flood_risk_indicator,tag
OC-INDU-01,Anaheim Commerce Center,Industrial,Anaheim,34-118-0000,1000 Anaheim Industrial Way,1,102774,,18.2681,0.9335,0.0511,0.988,1.405,1.359,6.5,0.393,0.426,0.2636,0.0631,25,0.7,0.267,102774,"6.5yr WALT, 33% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.84475057218181,-117.90524942781819,tract-06001000200,950.98,18.66,19.32,low,DERIVED FEATURE
OC-OFFI-02,Jamboree Office Plaza,Office,Anaheim,34-118-0001,1017 Anaheim Office Way,2,216310,,53.4751,3.647,0.0682,0.802,2.7,2.624,4.0,0.329,0.317,1.3741,0.0654,25,0.6,0.492,216310,"4.0yr WALT, 45% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.85002081327559,-117.89997918672441,tract-06001000200,950.98,19.29,19.69,low,DERIVED FEATURE
OC-MULT-03,Orange Grove Apartments,Multifamily,Anaheim,34-118-0002,1034 Anaheim Multifamily Way,3,43440,48.0,26.8351,1.3015,0.0485,0.958,3518.59,3566.645,1.1,0.106,0.316,0.6572,0.0627,30,0.7,0.625,43440,"1.1yr WALT, 54% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.823835415066974,-117.92616458493302,tract-06001000200,950.98,16.28,18.1,low,DERIVED FEATURE
OC-RETA-04,Costa Mesa Retail Row,Retail,Anaheim,34-118-0003,1051 Anaheim Retail Way,4,96152,,27.6889,1.7887,0.0646,0.914,2.825,2.726,3.4,0.341,0.368,0.4239,0.0634,25,0.65,0.385,96152,"3.4yr WALT, 59% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.822484872548316,-117.92751512745168,tract-06001000200,950.98,16.13,18.03,low,DERIVED FEATURE
OC-INDU-05,Irvine Spectrum Logistics,Industrial,Irvine,34-118-0004,1068 Irvine Industrial Way,5,189326,,46.5815,2.371,0.0509,0.991,1.8,1.811,2.6,0.04,0.403,1.5186,0.064,25,0.7,0.649,189326,"2.6yr WALT, 28% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.670569022572856,-117.83943097742713,tract-06001000400,1393.94,7.69,1.94,low,DERIVED FEATURE
OC-OFFI-06,Newport Gateway Offices,Office,Irvine,34-118-0005,1085 Irvine Office Way,6,158882,,25.3268,1.7982,0.071,0.849,1.871,1.837,3.4,0.246,0.375,0.546,0.0707,25,0.6,0.272,158882,"3.4yr WALT, 30% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.676160528338045,-117.83383947166195,tract-06001000400,1393.94,8.17,1.13,low,DERIVED FEATURE
OC-MULT-07,Santa Ana Urban Flats,Multifamily,Irvine,34-118-0006,1102 Irvine Multifamily Way,7,26825,25.0,11.1632,0.5403,0.0484,0.928,2990.79,2993.097,1.3,0.086,0.317,0.2582,0.0607,30,0.7,0.467,26825,"1.3yr WALT, 46% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.70619940640937,-117.80380059359062,tract-06001000400,1393.94,11.4,3.21,low,DERIVED FEATURE
OC-RETA-08,Fullerton Marketplace,Retail,Irvine,34-118-0007,1119 Irvine Retail Way,8,107699,,41.9059,2.8496,0.068,0.939,3.423,3.393,3.2,0.594,0.3,1.2307,0.0641,25,0.65,0.781,107699,"3.2yr WALT, 43% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.685449639752925,-117.82455036024707,tract-06001000400,1393.94,9.07,0.21,low,DERIVED FEATURE
OC-INDU-09,Fullerton Distribution Park,Industrial,Newport Beach,34-118-0008,1136 Newport Beach Industrial Way,9,158341,,33.8466,1.6991,0.0502,0.945,1.497,1.519,4.3,0.174,0.355,1.0529,0.0598,25,0.7,0.873,158341,"4.3yr WALT, 56% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.620747158957904,-117.9252528410421,tract-06001000400,5400.0,6.32,11.57,low,DERIVED FEATURE
OC-OFFI-10,Irvine Corporate Center,Office,Newport Beach,34-118-0009,1153 Newport Beach Office Way,10,105678,,22.8301,1.6392,0.0718,0.832,2.71,2.635,5.3,0.006,0.415,0.6329,0.0676,25,0.6,0.67,105678,"5.3yr WALT, 55% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.625229301463584,-117.92077069853642,tract-06001000400,5400.0,5.81,10.94,low,DERIVED FEATURE
OC-MULT-11,Anaheim Garden Apartments,Multifamily,Newport Beach,34-118-0010,1170 Newport Beach Multifamily Way,11,28896,28.0,10.099,0.5201,0.0515,0.976,2560.65,2499.222,1.3,0.123,0.348,0.2779,0.059,30,0.7,0.362,28896,"1.3yr WALT, 32% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.609761550523025,-117.93623844947697,tract-06001000400,5400.0,7.65,13.13,low,DERIVED FEATURE
OC-RETA-12,Irvine Spectrum Retail Pad,Retail,Newport Beach,34-118-0011,1187 Newport Beach Retail Way,12,135318,,56.1454,3.5147,0.0626,0.943,3.522,3.627,2.2,0.596,0.335,0.8157,0.0665,25,0.65,0.775,135318,"2.2yr WALT, 25% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.61804169674904,-117.92795830325096,tract-06001000400,5400.0,6.63,11.95,low,DERIVED FEATURE
OC-INDU-13,Garden Grove Logistics Center,Industrial,Orange,34-118-0012,1204 Orange Industrial Way,13,88327,,16.7768,0.9697,0.0578,0.96,1.602,1.621,4.4,0.361,0.393,0.3763,0.0645,25,0.7,0.763,88327,"4.4yr WALT, 45% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.799402775884204,-117.81859722411579,tract-06001000400,1148.15,16.59,12.85,low,DERIVED FEATURE
OC-OFFI-14,Anaheim Office Park,Office,Orange,34-118-0013,1221 Orange Office Way,14,186200,,46.3344,2.9793,0.0643,0.845,2.815,2.871,4.1,0.19,0.428,0.2682,0.0691,25,0.6,0.537,186200,"4.1yr WALT, 21% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.79669934298004,-117.82130065701995,tract-06001000400,1148.15,16.2,12.54,low,DERIVED FEATURE
OC-MULT-15,Irvine Park Courts,Multifamily,Orange,34-118-0014,1238 Orange Multifamily Way,15,47386,43.0,15.0304,0.741,0.0493,0.95,2779.1,2802.766,0.8,0.721,0.445,0.1638,0.061,30,0.7,0.734,47386,"0.8yr WALT, 58% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.81276562952535,-117.80523437047464,tract-06001000400,1148.15,18.52,14.45,low,DERIVED FEATURE
OC-RETA-16,Anaheim Plaza Retail,Retail,Orange,34-118-0015,1255 Orange Retail Way,16,86933,,15.9545,1.053,0.066,0.957,2.015,2.076,4.5,0.083,0.449,0.2615,0.0671,25,0.65,0.21,86933,"4.5yr WALT, 45% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.81277086533133,-117.80522913466866,tract-06001000400,1148.15,18.52,14.45,low,DERIVED FEATURE
OC-INDU-17,Tustin Business Park,Industrial,Santa Ana,34-118-0016,1272 Santa Ana Industrial Way,17,132425,,20.4674,1.0684,0.0522,0.953,1.11,1.142,6.1,0.286,0.331,0.2262,0.0651,25,0.7,0.221,132425,"6.1yr WALT, 49% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.750464121039045,-117.86153587896095,tract-06001000300,2296.3,9.86,8.09,low,DERIVED FEATURE
OC-OFFI-18,Costa Mesa Professional Tower,Office,Santa Ana,34-118-0017,1289 Santa Ana Office Way,18,238166,,49.5332,3.8091,0.0769,0.801,3.062,3.028,3.3,0.056,0.428,0.4612,0.0654,25,0.6,0.491,238166,"3.3yr WALT, 27% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.73762320007557,-117.87437679992443,tract-06001000300,2296.3,8.01,7.45,low,DERIVED FEATURE
OC-MULT-19,Fullerton Square Apartments,Multifamily,Santa Ana,34-118-0018,1306 Santa Ana Multifamily Way,19,27024,24.0,8.0552,0.4527,0.0562,0.954,2834.94,2734.059,1.1,0.41,0.407,0.0645,0.0586,30,0.7,0.698,27024,"1.1yr WALT, 51% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.748675793202985,-117.86332420679702,tract-06001000300,2296.3,9.6,7.98,low,DERIVED FEATURE
OC-RETA-20,Garden Grove Shopping Center,Retail,Santa Ana,34-118-0019,1323 Santa Ana Retail Way,20,64648,,18.5932,1.1565,0.0622,0.881,3.147,3.061,2.7,0.165,0.434,0.3559,0.0672,25,0.65,0.385,64648,"2.7yr WALT, 36% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.74256484441091,-117.86943515558909,tract-06001000300,2296.3,8.72,7.65,low,DERIVED FEATURE
OC-INDU-21,Cypress Industrial Yard,Industrial,Costa Mesa,34-118-0020,1340 Costa Mesa Industrial Way,21,85147,,15.2232,0.8525,0.056,0.969,1.358,1.371,2.9,0.064,0.353,0.5239,0.0617,25,0.7,0.534,85147,"2.9yr WALT, 21% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.64808263529963,-117.92091736470036,tract-06001000400,3250.0,3.27,9.65,low,DERIVED FEATURE
OC-OFFI-22,Huntington Beach Executive Suites,Office,Costa Mesa,34-118-0021,1357 Costa Mesa Office Way,22,170542,,30.8641,2.0895,0.0677,0.889,2.063,1.99,5.0,0.354,0.414,0.1614,0.0712,25,0.6,0.457,170542,"5.0yr WALT, 35% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.658345885068286,-117.9106541149317,tract-06001000400,3250.0,2.38,8.34,low,DERIVED FEATURE
OC-MULT-23,Costa Mesa Midtown Flats,Multifamily,Costa Mesa,34-118-0022,1374 Costa Mesa Multifamily Way,23,58050,43.0,20.2322,1.0541,0.0521,0.949,3230.31,3239.814,1.1,0.534,0.32,0.5336,0.0597,30,0.7,0.614,58050,"1.1yr WALT, 29% rolling in 3yrs",False,REAL605 CRE Sim derived geospatial features,https://github.com/chapman-real605/cre-sim,2024-03-31,2024-03-31,derived_feature,Derived features computed from real parcel context and public data anchors. Employment density proxy is a cached public-data sample for offline demo; real implementation would use Census LEHD/LODES WAC files.,Market / Lease-up Risk,33.635326806882716,-117.93367319311729,tract-06001000400,3250.0,4.81,11.34,low,DERIVED FEATURE
