property_id,property_type,submarket,building_sf,year_built,occupancy,noi,market_rent,in_place_rent,going_in_cap,opex_ratio,walt,tenant_concentration,capex_need,property_quality,units,primary_risk,employment_density,treasury_rate,market_vacancy,property_name,asking_price,debt_rate,max_ltv,amortization_years,data_tag
OC-INDU-01,Industrial,Anaheim,102774,1965,0.988,0.9335,1.405,1.359,0.0511,0.426,6.5,0.393,0.2636,0.267,,Market / Lease-up Risk,950.98,0.053,0.055,Anaheim Commerce Center,18.2681,0.0631,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-05,Industrial,Irvine,189326,1977,0.991,2.371,1.8,1.811,0.0509,0.403,2.6,0.04,1.5186,0.649,,Market / Lease-up Risk,1393.94,0.053,0.055,Irvine Spectrum Logistics,46.5815,0.064,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-09,Industrial,Newport Beach,158341,1992,0.945,1.6991,1.497,1.519,0.0502,0.355,4.3,0.174,1.0529,0.873,,Market / Lease-up Risk,5400.0,0.053,0.055,Fullerton Distribution Park,33.8466,0.0598,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-101,Industrial,Santa Ana,132070,1984,0.976,1.1706,1.268,1.249,0.0517,0.391,6.3,0.29,0.3168,0.615,,Market / Lease-up Risk,2296.3,0.053,0.055,Cypress Industrial Yard 3,22.6422,0.0606,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-105,Industrial,Costa Mesa,70313,1991,0.978,0.7984,1.467,1.451,0.0509,0.327,2.9,0.002,0.081,0.814,,Market / Lease-up Risk,3250.0,0.053,0.055,Orange Industrial Park 3,15.6857,0.0601,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-109,Industrial,Fullerton,198348,1988,0.964,2.4337,1.819,1.796,0.0525,0.405,3.2,0.336,0.2783,0.656,,Market / Lease-up Risk,1500.0,0.053,0.055,Santa Ana Logistics Hub 3,46.3562,0.0619,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-113,Industrial,Anaheim,125830,1986,0.944,1.3141,1.454,1.51,0.0568,0.353,6.1,0.199,0.314,0.869,,Market / Lease-up Risk,950.98,0.053,0.055,Fountain Valley Warehouse 3,23.1356,0.0604,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-117,Industrial,Irvine,181100,1975,0.944,1.7134,1.404,1.374,0.058,0.393,4.2,0.061,1.0167,0.537,,Market / Lease-up Risk,1393.94,0.053,0.055,Laguna Beach Industrial Lofts (hybrid) 3,29.5414,0.0609,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-13,Industrial,Orange,88327,1987,0.96,0.9697,1.602,1.621,0.0578,0.393,4.4,0.361,0.3763,0.763,,Market / Lease-up Risk,1148.15,0.053,0.055,Garden Grove Logistics Center,16.7768,0.0645,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-17,Industrial,Santa Ana,132425,1965,0.953,1.0684,1.11,1.142,0.0522,0.331,6.1,0.286,0.2262,0.221,,Market / Lease-up Risk,2296.3,0.053,0.055,Tustin Business Park,20.4674,0.0651,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
