date,property_id,property_type,submarket,building_sf,year_built,occupancy,noi,market_rent,in_place_rent,going_in_cap,opex_ratio,walt,tenant_concentration,capex_need,property_quality,units,primary_risk,employment_density,treasury_rate,market_vacancy,transaction_cap_rate,transaction_price,noi_growth_realized,next_year_noi,next_year_cap_rate,next_year_value
2019-06-30,OC-INDU-01,Industrial,Anaheim,97192,1990,0.961,0.9432,1.448,1.402,0.0573,0.407,5.7,0.228,0.3382,0.749,,Market / Lease-up Risk,950.98,0.042,0.060962153588949505,0.0573,16.4607,0.01249,0.955,0.0551,17.3317
2019-06-30,OC-INDU-05,Industrial,Irvine,164933,1955,0.954,1.3878,1.207,1.238,0.053,0.359,5.5,0.111,0.8997,0.068,,Market / Lease-up Risk,1393.94,0.042,0.04722390297892176,0.053,26.1849,0.03573,1.4374,0.05361,26.8121
2019-06-30,OC-INDU-09,Industrial,Newport Beach,179905,1975,0.935,2.1838,1.798,1.822,0.0537,0.386,3.6,0.032,0.5547,0.539,,Market / Lease-up Risk,5400.0,0.042,0.04008854860744674,0.0537,40.6667,0.04847,2.2896,0.05467,41.8775
2019-06-30,OC-INDU-101,Industrial,Santa Ana,210692,1992,0.952,2.2713,1.646,1.69,0.0546,0.415,4.4,0.344,0.7144,0.767,,Market / Lease-up Risk,2296.3,0.042,0.07957995391192402,0.0546,41.5989,0.0167,2.3092,0.05461,42.2822
2019-06-30,OC-INDU-105,Industrial,Costa Mesa,192367,1972,0.963,2.4857,1.778,1.801,0.0554,0.338,4.9,0.293,1.5233,0.437,,Market / Lease-up Risk,3250.0,0.042,0.0786408684471479,0.0554,44.8682,0.03102,2.5628,0.05375,47.6812
2019-06-30,OC-INDU-109,Industrial,Fullerton,132203,1971,0.951,1.593,1.868,1.939,0.0506,0.405,7.7,0.101,0.3294,0.325,,Market / Lease-up Risk,1500.0,0.042,0.04830816859121879,0.0506,31.4822,0.03698,1.6519,0.05548,29.775
2019-06-30,OC-INDU-113,Industrial,Anaheim,146234,1958,0.951,1.6729,1.747,1.69,0.0561,0.396,8.0,0.007,0.7524,0.319,,Market / Lease-up Risk,950.98,0.042,0.055697396416027105,0.0561,29.82,0.05204,1.76,0.05565,31.6266
2019-06-30,OC-INDU-117,Industrial,Irvine,210866,1958,0.942,1.3415,0.954,0.958,0.0525,0.379,7.2,0.897,0.7594,0.216,,Market / Lease-up Risk,1393.94,0.042,0.06099111083534431,0.0525,25.5524,0.05739,1.4185,0.05468,25.9432
2019-06-30,OC-INDU-121,Industrial,Newport Beach,168628,1966,0.944,1.3949,1.314,1.264,0.0546,0.415,2.8,0.162,0.8473,0.352,,Market / Lease-up Risk,5400.0,0.042,0.05663398575282891,0.0546,25.5476,0.02077,1.4239,0.05518,25.8023
2019-06-30,OC-INDU-125,Industrial,Orange,90958,1969,0.936,1.1115,1.643,1.632,0.0591,0.303,5.8,0.39,0.1999,0.325,,Market / Lease-up Risk,1148.15,0.042,0.04482485220784753,0.0591,18.8071,0.05679,1.1746,0.05499,21.362
2019-06-30,OC-INDU-129,Industrial,Santa Ana,99200,1984,0.934,0.8795,1.444,1.484,0.0513,0.441,3.2,0.009,0.2218,0.69,,Market / Lease-up Risk,2296.3,0.042,0.04879758494100379,0.0513,17.1442,0.00813,0.8866,0.05425,16.3431
2019-06-30,OC-INDU-13,Industrial,Orange,199382,1983,0.961,1.491,1.135,1.092,0.0567,0.417,6.2,0.447,0.6267,0.7,,Market / Lease-up Risk,1148.15,0.042,0.056623648042028796,0.0567,26.2963,0.04877,1.5637,0.05578,28.0316
2019-06-30,OC-INDU-133,Industrial,Costa Mesa,103625,1983,0.993,0.9804,1.235,1.19,0.0586,0.344,6.6,0.704,0.1982,0.598,,Market / Lease-up Risk,3250.0,0.042,0.05018361781228087,0.0586,16.7304,0.03272,1.0125,0.05489,18.4455
2019-06-30,OC-INDU-137,Industrial,Fullerton,215352,1960,0.987,2.0954,1.547,1.586,0.057,0.441,4.6,0.671,0.8023,0.233,,Market / Lease-up Risk,1500.0,0.042,0.06671860271455506,0.057,36.7614,0.04242,2.1843,0.05468,39.9431
